,Price,RoomNr,Surface,Latitude,Longitude,sum
0,,,,,,1
1,,,,,,2
2,,,,,,5
3,,,,,,18
4,,,,,,8
5,,,,,,24
6,,,,,,8
7,,,,,,1
8,,,,,,5
9,,,,,,8
10,,,,,,10
11,,,,,,5
12,,,,,,4
13,,,,,,4
14,,,,,,8
15,,,,,,7
16,,,,,,7
17,,,,,,7
18,,,,,,4
19,,,,,,5
20,,,,,,44
21,,,,,,3
22,,,,,,26
23,,,,,,4
24,,,,,,4
25,,,,,,3
26,,,,,,4
27,,,,,,4
28,,,,,,3
29,,,,,,5
30,,,,,,42
31,,,,,,8
32,,,,,,8
33,,,,,,5
34,,,,,,4
35,,,,,,6
36,,,,,,4
37,,,,,,9
38,,,,,,10
39,,,,,,9
40,,,,,,5
41,,,,,,4
42,,,,,,4
43,,,,,,4
44,,,,,,8
45,,,,,,5
46,,,,,,4
47,,,,,,4
48,,,,,,3
49,,,,,,15
50,,,,,,3
51,,,,,,4
52,,,,,,6
53,,,,,,8
54,,,,,,8
55,,,,,,5
56,,,,,,8
57,,,,,,7
58,,,,,,5
59,,,,,,4
60,,,,,,50
61,,,,,,10
62,,,,,,41
63,,,,,,7
64,,,,,,8
65,,,,,,36
66,,,,,,7
67,,,,,,6
68,,,,,,4
69,,,,,,6
70,,,,,,7
71,,,,,,7
72,,,,,,5
73,,,,,,3
74,,,,,,8
75,,,,,,4
76,,,,,,8
77,,,,,,2
78,,,,,,50
79,,,,,,10
80,,,,,,8
81,,,,,,9
82,,,,,,3
83,,,,,,3
84,,,,,,7
85,,,,,,4
86,,,,,,5
87,,,,,,8
88,,,,,,4
89,,,,,,6
90,,,,,,4
91,,,,,,5
92,,,,,,50
93,,,,,,4
94,,,,,,4
95,,,,,,3
96,,,,,,3
97,,,,,,2
98,,,,,,4
99,,,,,,6
100,,,,,,7
101,,,,,,5
102,,,,,,50
103,,,,,,50
104,,,,,,4
105,,,,,,4
106,,,,,,5
107,,,,,,1
108,,,,,,3
109,,,,,,4
110,,,,,,50
111,,,,,,50
112,,,,,,5
113,,,,,,9
114,,,,,,5
115,,,,,,4
116,,,,,,4
117,,,,,,1
118,,,,,,7
119,,,,,,4
120,,,,,,4
121,,,,,,5
122,,,,,,8
123,,,,,,5
124,,,,,,14
125,,,,,,12
126,,,,,,4
127,,,,,,4
128,,,,,,27
129,,,,,,6
130,,,,,,11
131,,,,,,25
132,,,,,,8
133,,,,,,41
134,,,,,,7
135,,,,,,2
136,,,,,,5
137,,,,,,4
138,,,,,,4
139,,,,,,4
140,,,,,,50
141,,,,,,5
142,,,,,,8
143,,,,,,50
144,,,,,,3
145,,,,,,4
146,,,,,,8
147,,,,,,8
148,,,,,,8
149,,,,,,7
150,,,,,,3
151,,,,,,10
152,,,,,,4
153,,,,,,28
154,,,,,,5
155,,,,,,6
156,,,,,,6
157,,,,,,7
158,,,,,,8
159,,,,,,4
160,,,,,,41
161,,,,,,28
162,,,,,,8
163,,,,,,4
164,,,,,,4
165,,,,,,3
166,,,,,,5
167,,,,,,5
168,,,,,,10
169,,,,,,12
170,,,,,,6
171,,,,,,4
172,,,,,,4
173,,,,,,6
174,,,,,,9
175,,,,,,6
176,,,,,,4
177,,,,,,4
178,,,,,,7
179,,,,,,8
180,,,,,,2
181,,,,,,9
182,,,,,,4
183,,,,,,4
184,,,,,,7
185,,,,,,3
186,,,,,,50
187,,,,,,50
188,,,,,,8
189,,,,,,4
190,,,,,,9
191,,,,,,4
192,,,,,,5
193,,,,,,2
194,,,,,,9
195,,,,,,39
196,,,,,,4
197,,,,,,49
198,,,,,,8
199,,,,,,10
200,,,,,,1
201,,,,,,28
202,,,,,,28
203,,,,,,3
204,,,,,,7
205,,,,,,5
206,,,,,,5
207,,,,,,4
208,,,,,,4
209,,,,,,7
210,,,,,,4
211,,,,,,2
212,,,,,,36
213,,,,,,27
214,,,,,,12
215,,,,,,7
216,,,,,,30
217,,,,,,8
218,,,,,,41
219,,,,,,33
220,,,,,,50
221,,,,,,4
222,,,,,,4
223,,,,,,4
224,,,,,,16
225,,,,,,4
226,,,,,,27
227,,,,,,39
228,,,,,,4
229,,,,,,34
230,,,,,,21
231,,,,,,4
232,,,,,,4
233,,,,,,50
234,,,,,,1
235,,,,,,50
236,,,,,,4
237,,,,,,4
238,,,,,,4
239,,,,,,10
240,,,,,,9
241,,,,,,7
242,,,,,,7
243,,,,,,3
244,,,,,,5
245,,,,,,6
246,,,,,,4
247,,,,,,4
248,,,,,,24
249,,,,,,4
250,,,,,,16
251,,,,,,50
252,,,,,,28
253,,,,,,5
254,,,,,,9
255,,,,,,13
256,,,,,,13
257,,,,,,9
258,,,,,,9
259,,,,,,8
260,,,,,,5
261,,,,,,32
262,,,,,,32
263,,,,,,4
264,,,,,,3
265,,,,,,7
266,,,,,,3
267,,,,,,7
268,,,,,,4
269,,,,,,50
270,,,,,,12
271,,,,,,3
272,,,,,,22
273,,,,,,5
274,,,,,,19
275,,,,,,3
276,,,,,,25
277,,,,,,5
278,,,,,,12
279,,,,,,14
280,,,,,,5
281,,,,,,4
282,,,,,,14
283,,,,,,4
284,,,,,,8
285,,,,,,10
286,,,,,,9
287,,,,,,6
288,,,,,,2
289,,,,,,7
290,,,,,,50
291,,,,,,5
292,,,,,,6
293,,,,,,4
294,,,,,,7
295,,,,,,4
